status,votes,candidate,state,party,constituency
Result Declared  ,5812,BIPLAB MUKHERJEE,Assam,Independent,BILASIPARA WEST
Result Declared  ,1997,ATOWAR HUSSAIN,Assam,Independent,BILASIPARA WEST
Result Declared  ,1412,SAIFUL ISLAM,Assam,Independent,BILASIPARA WEST
Result Declared  ,616,SHEIKH MONSHUR RAHMAN,Assam,Independent,BILASIPARA WEST
Result Declared  ,577,MOHAR UDDIN MONDAL,Assam,Samajwadi Party,BILASIPARA WEST
Result Declared  ,498,AFZALUR RAHMAN,Assam,Republican Party of India (A),BILASIPARA WEST
Result Declared  ,492,AJMIRA AKTAR,Assam,Jan Congress Party,BILASIPARA WEST
Result Declared  ,486,PRAKRITA KUMAR N ATH,Assam,Independent,BILASIPARA WEST
Result Declared  ,250,YOUSUB ALI AHMED,Assam,Indian Union Muslim League,BILASIPARA WEST
Result Declared  ,766,None of the Above,Assam,None of the Above,BILASIPARA WEST
Result Declared  ,74644,ASHWINI RAY SARKAR,Assam,Bharatiya Janata Party,Golakganj
Result Declared  ,68253,ABDUS SOBAHAN ALI SARKAR,Assam,Indian National Congress,Golakganj
Result Declared  ,16843,SAFER ALI AHMED,Assam,All India United Democratic Front,Golakganj
Result Declared  ,814,JALAL UDDIN KHAN,Assam,Independent,Golakganj
Result Declared  ,1001,None of the Above,Assam,None of the Above,Golakganj
Result Declared  ,45517,MAJENDRA NARZARY,Assam,Bodoland Peoples Front,Gossaigaon
Result Declared  ,39476,RAVI SANKAR KASIREDDY,Assam,All India United Democratic Front,Gossaigaon
Result Declared  ,32187,ASHIM HASDA,Assam,Indian National Congress,Gossaigaon
Result Declared  ,17924,SOMNATH NARZARY,Assam,Independent,Gossaigaon
Result Declared  ,3786,WILSON HASDA,Assam,Independent,Gossaigaon
Result Declared  ,1199,MITHUN NATH,Assam,Republican Party of India (A),Gossaigaon
Result Declared  ,969,RAJENDRA MUSHAHARY,Assam,Independent,Gossaigaon
Result Declared  ,1482,None of the Above,Assam,None of the Above,Gossaigaon
Result Declared  ,64423,RABIRAM NARZARY,Assam,Bodoland Peoples Front,Kokrajhar West
Result Declared  ,47083,DAHIT CHANDRA BRAHMA,Assam,All India United Democratic Front,Kokrajhar West
Result Declared  ,18629,URKHAO GWRA BRAHMA,Assam,Independent,Kokrajhar West
Result Declared  ,3545,NILIMA BRAHMA,Assam,Independent,Kokrajhar West
Result Declared  ,1437,BHADRESWAR BRAHMA,Assam,Independent,Kokrajhar West
Result Declared  ,1116,MUKUNDA KOCH,Assam,Independent,Kokrajhar West
Result Declared  ,1044,SUBHADRA NARZARY,Assam,Independent,Kokrajhar West
Result Declared  ,977,SUJILA BASUMATARY,Assam,Independent,Kokrajhar West
Result Declared  ,775,ARUNA BRAHMA,Assam,Independent,Kokrajhar West
Result Declared  ,627,RANJOY KR. BRAHMA,Assam,Independent,Kokrajhar West
Result Declared  ,1285,None of the Above,Assam,None of the Above,Kokrajhar West
Result Declared  ,48354,ABDUL HAI NAGORI,Assam,Indian National Congress,Abhayapuri North
Result Declared  ,46211,BHUPEN ROY,Assam,Asom Gana Parishad,Abhayapuri North
Result Declared  ,32699,ABDUL BATIN KHANDAKAR,Assam,All India United Democratic Front,Abhayapuri North
Result Declared  ,3968,SWAPAN MUKHERJEE,Assam,Independent,Abhayapuri North
Result Declared  ,3315,TAREN CHANDRA RAY,Assam,Communist Party of India  (Marxist),Abhayapuri North
Result Declared  ,836,BHAGIRATH RAY,Assam,Republican Party of India (A),Abhayapuri North
Result Declared  ,501,SAMSUL HOQUE,Assam,Independent,Abhayapuri North
Result Declared  ,803,None of the Above,Assam,None of the Above,Abhayapuri North
Result Declared  ,64421,SUM RONGHANG,Assam,Bharatiya Janata Party,Diphu
Result Declared  ,36185,BIDYA SING ENGLENG,Assam,Indian National Congress,Diphu
Result Declared  ,31647,DR. JAYANTA RONGPI,Assam,Independent,Diphu
Result Declared  ,1975,DIPENDRA RONGPI,Assam,Lok Jan Shakti Party,Diphu
Result Declared  ,1231,MARY KRAMSAPI,Assam,Jan Congress Party,Diphu
Result Declared  ,2803,None of the Above,Assam,None of the Above,Diphu
Result Declared  ,66037,CHANDAN BRAHMA,Assam,Bodoland Peoples Front,Sidli 
Result Declared  ,57049,RWNGWRA NARZARY,Assam,Independent,Sidli 
Result Declared  ,21601,DILIP KUMAR SARANIA,Assam,Independent,Sidli 
Result Declared  ,8083,PANKAJ ISLARY,Assam,All India United Democratic Front,Sidli 
Result Declared  ,1548,PHALMARSTON BRAHMA,Assam,Independent,Sidli 
Result Declared  ,2929,None of the Above,Assam,None of the Above,Sidli 
Result Declared  ,54181,DR. MOTIUR ROHMAN MONDAL,Assam,Indian National Congress,Mankachar 
Result Declared  ,49868,MD. AMINUL ISLAM,Assam,All India United Democratic Front,Mankachar 
Result Declared  ,48358,ZABED ISLAM,Assam,Independent,Mankachar 
